pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,24.247662000001583,24.9487904000016,24.9487904000016,24.9487904000016,24.9487904000016,25.24836839999989,25.94798449999871,25.94798449999871,x,1,0.9962722999989637,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
150,v,0,1,1,1,,,,,26.964154000001145,27.963550600001327,27.963550600001327,27.963550600001327,27.963550600001327,27.963550600001327,28.96300500000143,28.96300500000143,v,1,0.7624724999986938,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
50,c,0,2,2,2,,,,,29.74598490000062,30.745381400000042,30.745381400000042,30.745381400000042,30.745381400000042,30.745381400000042,31.744877000000997,31.744877000000997,c,1,0.5859101999994891,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
-150,z,0,3,3,3,,,,,32.36136289999922,33.360908599999675,33.360908599999675,33.360908599999675,33.360908599999675,33.360908599999675,34.359769400001824,34.359769400001824,z,1,0.3661893999997119,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
-50,x,1,0,4,0,,,,,34.74318739999944,35.74281189999965,35.74281189999965,35.74281189999965,35.74281189999965,35.74281189999965,36.74203920000218,36.74203920000218,x,1,0.29703089999748045,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
150,v,1,1,5,1,,,,,37.05843730000197,38.05782190000173,38.05782190000173,38.05782190000173,38.05782190000173,38.05782190000173,39.05723819999912,39.05723819999912,v,1,0.46304830000008224,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
50,c,1,2,6,2,,,,,39.540266700001666,40.53968879999957,40.53968879999957,40.53968879999957,40.53968879999957,40.53968879999957,41.539079900001525,41.539079900001525,c,1,0.3463564999983646,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
-150,z,1,3,7,3,,,,,41.905510600001435,42.90507190000062,42.90507190000062,42.90507190000062,42.90507190000062,42.90507190000062,43.904545500001404,43.904545500001404,z,1,0.28206430000136606,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
-50,x,2,0,8,0,,,,,44.204392100000405,45.2038461000011,45.2038461000011,45.2038461000011,45.2038461000011,45.2038461000011,46.20323819999976,46.20323819999976,x,1,0.6315484999977343,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
150,v,2,1,9,1,,,,,46.85284060000049,47.852146600002015,47.852146600002015,47.852146600002015,47.852146600002015,47.852146600002015,48.85169270000188,48.85169270000188,v,1,0.5802542999990692,037538,001,2022-10-06_14h38.50.162,MotorSequenceLearningTask,2022.2.4,60.94316866704763,
